================================================================================
SciAssist Fine-Tuning
================================================================================
Autodetected device type: cuda
/usr/local/lib/python3.12/dist-packages/torch/__init__.py:1617: UserWarning: Please use the new API settings to control TF32 behavior, such as torch.backends.cudnn.conv.fp32_precision = 'tf32' or torch.backends.cuda.matmul.fp32_precision = 'ieee'. Old settings, e.g, torch.backends.cuda.matmul.allow_tf32 = True, torch.backends.cudnn.allow_tf32 = True, allowTF32CuDNN() and allowTF32CuBLAS() will be deprecated after Pytorch 2.9. Please see https://pytorch.org/docs/main/notes/cuda.html#tensorfloat-32-tf32-on-ampere-and-later-devices (Triggered internally at /pytorch/aten/src/ATen/Context.cpp:80.)
  _C._set_float32_matmul_precision(precision)
2025-11-25 18:26:03,731 - nanochat.common - [32m[1mINFO[0m - Distributed world size: 1

Device: cuda
World size: 1

Loading base model...
2025-11-25 18:26:05,422 - nanochat.checkpoint_manager - [32m[1mINFO[0m - Building model with config: {'sequence_len': 2048, 'vocab_size': 65536, 'n_layer': 20, 'n_head': 10, 'n_kv_head': 10, 'n_embd': 1280}
Model loaded: 20 layers, ~561M parameters

Loading datasets...
Train: 12000, Val: 4000

Training configuration:
  Batch size (per device): 8
  Gradient accumulation steps: 8
  Total iterations: 748

Initializing optimizers...
Scaling the LR for the AdamW parameters ∝1/√(1280/768) = 0.774597
✓ Tokenizer copied to finetuned_model_checkpoint/tokenizer

Starting training...
--------------------------------------------------------------------------------
Step 00000 | Val loss: 1.967224
  → New best! (was inf)
Step 00046/00748 | Train loss: 1.573501 | LR: 0.9385 | Tok/s: 11039 | Time: 1.18s
Step 00047/00748 | Train loss: 1.699433 | LR: 0.9372 | Tok/s: 12353 | Time: 1.11s
Step 00048/00748 | Train loss: 1.700240 | LR: 0.9358 | Tok/s: 11037 | Time: 1.03s
Step 00049/00748 | Train loss: 1.769625 | LR: 0.9345 | Tok/s: 12592 | Time: 1.04s
Step 00050 | Val loss: 1.675904
  → New best! (was 1.822012)
Step 00050/00748 | Train loss: 1.666804 | LR: 0.9332 | Tok/s: 2295 | Time: 5.70s
Step 00051/00748 | Train loss: 1.619605 | LR: 0.9318 | Tok/s: 10972 | Time: 1.07s
Step 00052/00748 | Train loss: 2.042781 | LR: 0.9305 | Tok/s: 12339 | Time: 1.06s
Step 00053/00748 | Train loss: 1.683606 | LR: 0.9291 | Tok/s: 12714 | Time: 1.03s
Step 00054/00748 | Train loss: 1.859561 | LR: 0.9278 | Tok/s: 12063 | Time: 0.96s
Step 00055/00748 | Train loss: 1.997213 | LR: 0.9265 | Tok/s: 12343 | Time: 0.97s
Step 00056/00748 | Train loss: 1.527737 | LR: 0.9251 | Tok/s: 12552 | Time: 1.02s
Step 00057/00748 | Train loss: 1.421650 | LR: 0.9238 | Tok/s: 11920 | Time: 0.91s
Step 00058/00748 | Train loss: 1.824356 | LR: 0.9225 | Tok/s: 13516 | Time: 0.90s
Step 00059/00748 | Train loss: 1.697115 | LR: 0.9211 | Tok/s: 13119 | Time: 1.03s
Step 00060/00748 | Train loss: 1.599542 | LR: 0.9198 | Tok/s: 12487 | Time: 1.02s
Step 00061/00748 | Train loss: 2.097584 | LR: 0.9184 | Tok/s: 11079 | Time: 1.04s
Step 00062/00748 | Train loss: 1.697415 | LR: 0.9171 | Tok/s: 12350 | Time: 1.05s
Step 00063/00748 | Train loss: 1.571729 | LR: 0.9158 | Tok/s: 13218 | Time: 0.91s
Step 00064/00748 | Train loss: 1.719239 | LR: 0.9144 | Tok/s: 11845 | Time: 1.09s
Step 00065/00748 | Train loss: 1.554167 | LR: 0.9131 | Tok/s: 13397 | Time: 1.06s
Step 00066/00748 | Train loss: 1.598491 | LR: 0.9118 | Tok/s: 12096 | Time: 1.16s
Step 00067/00748 | Train loss: 1.690474 | LR: 0.9104 | Tok/s: 11846 | Time: 1.22s
Step 00068/00748 | Train loss: 1.519478 | LR: 0.9091 | Tok/s: 12947 | Time: 0.98s
Step 00069/00748 | Train loss: 1.697709 | LR: 0.9078 | Tok/s: 12355 | Time: 1.02s
Step 00070/00748 | Train loss: 1.741775 | LR: 0.9064 | Tok/s: 10721 | Time: 1.10s
Step 00071/00748 | Train loss: 1.634136 | LR: 0.9051 | Tok/s: 12519 | Time: 1.00s
Step 00072/00748 | Train loss: 1.735185 | LR: 0.9037 | Tok/s: 12526 | Time: 0.90s
Step 00073/00748 | Train loss: 1.633244 | LR: 0.9024 | Tok/s: 11352 | Time: 1.14s
Step 00074/00748 | Train loss: 1.472044 | LR: 0.9011 | Tok/s: 11647 | Time: 1.00s
Step 00075 | Val loss: 1.608415
  → New best! (was 1.675904)
Step 00075/00748 | Train loss: 1.745125 | LR: 0.8997 | Tok/s: 2420 | Time: 5.60s
Step 00076/00748 | Train loss: 1.498576 | LR: 0.8984 | Tok/s: 12662 | Time: 1.04s
Step 00077/00748 | Train loss: 1.498675 | LR: 0.8971 | Tok/s: 12718 | Time: 1.24s
Step 00078/00748 | Train loss: 1.495611 | LR: 0.8957 | Tok/s: 12258 | Time: 1.03s
Step 00079/00748 | Train loss: 1.516226 | LR: 0.8944 | Tok/s: 13918 | Time: 1.07s
Step 00080/00748 | Train loss: 1.603917 | LR: 0.8930 | Tok/s: 12603 | Time: 0.97s
